Source:,C:\Users\christian.saiz\Documents\0_NOAA\1_NOAA_work\1_XBT\New_Autolauncher\al_kicad_project\AOML_AB_3.0\AOML_AB_3.0_reorganized-v2.kicad_sch,,,,,,,
Date:,4/17/2024 15:53,,,,,,,
Tool:,Eeschema 7.0.7,,,,,,,
Generator:,C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,
Component Count:,241,,,,,,,
,,,,,,,,
Collated Components:,,,,,,,,
,,,,,,,,
Item,Qty,Reference(s),Value,Part,Cost,Digikey,Footprint,Datasheet
32,12,"K1, K2, K3, K4, K5, K6, K7, K8, K9, K10, K11, K12",TX2-L2-5V,TX2-L2-5V,3.61,https://www.digikey.com/en/products/detail/panasonic-electric-works/TX2-L2-5V/570921,Relay_TX-L2-5V:RELAY_TX2_L2_PAN,https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-21/DSA-416365.pdf
33,2,"R1, R48",6.8k,RT0805FRE076K8L,0.1,https://www.digikey.com/en/products/detail/yageo/RT0805FRE076K8L/1079385,Resistor_0805:RC0805N_YAG,https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf
34,2,"R2, R49",3.3k,RT0805FRE073K3L,0.1,https://www.digikey.com/en/products/detail/yageo/RT0805FRE073K3L/1079226,Resistor_0805:RC0805N_YAG,https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf
35,1,R3,47k,RT0805FRE0747KL,0.1,https://www.digikey.com/en/products/detail/yageo/RT0805FRE0747KL/1079274,Resistor_0805:RC0805N_YAG,https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf
36,1,R4,5.1k,RT0805FRE075K1L,0.1,https://www.digikey.com/en/products/detail/yageo/RT0805FRE075K1L/1079334,Resistor_0805:RC0805N_YAG,https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf
37,1,R5,0.1,PE2512FKE070R1L,0.6,https://www.digikey.com/en/products/detail/yageo/PE2512FKE070R1L/5138678,Shunt_PE2512FKE070R1L:RESC6331X89N,https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-pe_521_rohs_l.pdf
38,2,"R6, R9",10k,RT0805FRE0710KL,0.1,https://www.digikey.com/en/products/detail/yageo/RT0805FRE0710KL/1078908,Resistor_0805:RC0805N_YAG,https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf
39,2,"R7, R8",4.7k,RT0805FRE074K7L,0.1,https://www.digikey.com/en/products/detail/yageo/RT0805FRE074K7L/1079294,Resistor_0805:RC0805N_YAG,https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf
40,1,R10,5k,Y14535K00000V9L,38.87,https://www.digikey.com/en/products/detail/vpg-foil-resistors/Y14535K00000V9L/2609897,Precision_resistor_5k:Y1453_VIS,https://foilresistors.com/docs/63187/zseries.pdf
41,1,R11,15k,CFR-25JR-52-15K,0.1,https://www.digikey.com/en/products/detail/yageo/CFR-25JR-52-15K/12002,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-cfr_datasheet.pdf
